id,idx
DBLP:conf/icmc/BoyntonDPR86,306
DBLP:conf/icmc/Scaletti87,307
DBLP:conf/icmc/Scaletti87,308
DBLP:conf/icmc/DidkovskyB01,309
icmc/bbp2372.1997.060,310
DBLP:conf/icmc/Zicarelli98,311
DBLP:journals/comj/Puckette02,312
DBLP:journals/comj/Puckette02,313
DBLP:journals/comj/Puckette02,314
DBLP:conf/icmc/Puckette02,315
DBLP:conf/icmc/Lindemann90a,316
DBLP:conf/icmc/Puckette02,317
DBLP:conf/icmc/Puckette02,318
DBLP:conf/icmc/GartonT97,319
DBLP:conf/icmc/AssayagAFH97,320
icmc/bbp2372.2004.004,321
icmc/bbp2372.2010.129,322
DBLP:conf/icmc/GartonT97,323
DBLP:conf/icmc/Lansky90,324
DBLP:conf/icmc/GartonT97,325
DBLP:conf/icmc/GartonT97,326
DBLP:conf/icmc/GartonT97,327
DBLP:conf/icmc/McCartney96,328
DBLP:conf/icmc/McCartney98,329
DBLP:conf/icmc/WangC03,330
DBLP:conf/icmc/RodetDP88,331
Rodet1989,332
DBLP:conf/icmc/DepalleRGE93,333
DBLP:conf/icmc/RodetL96,334
DBLP:conf/icmc/RodetL97,335
icmc/bbp2372.2002.039,336
Amatriain/2004/phdthesis,337
Bullock2009,338
Bullock2011,339
Ari05:Ano,340
Schwarz2000,341
icmc/bbp2372.2003.099,342
Sch06:How,343
Sch06:How,344
diemo_schwarz_2009_849679,345
Schwarz:2012,346
icmc/bbp2372.2003.052,347
DBLP:conf/icmc/Collins07,348
DBLP:conf/icmc/Collins07,349
Nuannicode225in2016,350
icmc/bbp2372.2003.030,351
icmc/bbp2372.2003.030,352
gregoire_carpentier_2006_849343,353
Stu04:Mat,354
Sch06:Rea,355
icmc/bbp2372.2010.044,356
DBLP:conf/ismir/VinetHP02,357
DBLP:conf/icmc/VinetHP02,358
DBLP:conf/icmc/Vinet05,359
icmc/bbp2372.2007.117,360
Frisson2015,361
DBLP:conf/icmc/CaseyG07,362
DBLP:conf/icmc/CaseyG07,363
DBLP:conf/ismir/CaseyS06,364
Price2008,365
icmc/bbp2372.2001.103,366
DBLP:conf/icmc/Boie89,367
icmc/bbp2372.2001.103,368
icmc/bbp2372.2001.071,369
DBLP:conf/icmc/OliverJ08,370
DBLP:conf/icmc/OliverJ08,371
DBLP:conf/icmc/OliverJ08,372
DBLP:conf/icmc/OliverJ08,373
DBLP:conf/icmc/OliverJ10,374
Caramiaux2011,375
mcartwright:2014,376
icmc/bbp2372.2000.146,377
Cho00:Voi,378
icmc/bbp2372.2000.146,379
icmc/bbp2372.2000.146,380
icmc/bbp2372.2000.146,381
icmc/bbp2372.2000.146,382
icmc/bbp2372.2006.123,383
icmc/bbp2372.2006.123,384
Nakamoto2007,385
Nakamoto2007,386
Nakamoto2007,387
icmc/bbp2372.2014.046,388
Liu:2013,389
btaylor:2014,390
Rya17:OnT,391
Rya17:OnT,392
DBLP:conf/icmc/JonesLS07,393
DBLP:conf/icmc/JonesLS07,394
icmc/bbp2372.2009.005,395
Young2007,396
Hochenbaum2010,397
Garcia2011,398
fvisi:2017,399
Ste12:MP3,400
Amatriain/2004/phdthesis,401
icmc/bbp2372.2009.012,402
icmc/bbp2372.2004.004,403
kristian_nymoen_2011_849865,404
icmc/bbp2372.2004.004,405
nickcollinsphd,406
Col03:Liv,407
Nilson2007,408
Zmo15:Liv,409
croberts:2014,410
nime18-Xambo-b,411
Row92:Int,412
DBLP:conf/icmc/AssayagDD99,413
DBLP:conf/icmc/BlochD08,414
rvogl:2017,415
Loviscach2008,416
DBLP:conf/icmc/SchonerCDG98,417
Luc70:Iam,418
Nan07:Lis,419
Gra15:The,420
Gra15:The,421
Gra15:The,422
Nan07:Lis,423
Nan07:Lis,424
Nan07:Lis,425
Gra15:The,426
Lat90:On,427
Lat93:We,427
Lat90:On,428
Lat90:On,429
Bachman:1973:PN:355611.362534,430
Lat90:On,431
Lat90:On,432
Lat90:On,433
Lat90:On,434
Lat90:On,435
Lat90:On,436
Luc70:Iam,437
Luc70:Iam,438
Luc70:Iam,439
icmc/bbp2372.2012.006,440
Kro11:Aco,441
icmc/bbp2372.2012.006,442
icmc/bbp2372.2012.006,443
Der76:Of,444
Nan07:Lis,445
Nan91:The,446
Nan91:The,447
Nan91:The,448
Nan91:The,449
Lat90:On,450
Lat90:On,451
Lat90:On,452
Lat90:On,453
Lat90:On,454
DBLP:conf/icmc/OliverJ08,455
Lat90:On,456
Lat90:On,457
Nan91:The,458
Nan91:The,459
Lat90:On,460
Lat90:On,461
Nan91:The,462
DBLP:conf/icmc/OliverJ08,463
Lat90:On,464
DBLP:conf/icmc/OliverJ10,465
DBLP:conf/icmc/OliverJ10,466
Nan91:The,467
Der78:Wri,468
Der78:Wri,469
Der78:Wri,470
Der78:Wri,471
Gra15:The,472
Der78:Wri,473
Der82:Mar,474
Der78:Wri,475
Ker94:Fun,476
Bor42:Fun,477
Der76:Of,478
Der76:Of,479
Der76:Of,480
Der78:Wri,481
Der76:Of,482
Der78:Wri,483
Der78:Wri,484
Der95:Arc,485
Der95:Arc,486
Der95:Arc,487
Der95:Arc,488
Der95:Arc,489
Der95:Arc,490
Der95:Arc,491
Der95:Arc,492
Der95:Arc,493
Ern13:Dig,494
Ern13:Dig,495
Der95:Arc,496
Der95:Arc,497
Ern13:Dig,498
Ern13:Dig,499
Ern13:Dig,500
Ern13:Dig,501
Ern13:Dig,502
Ern13:Dig,503
Ste03:Aud,504
Ste03:Aud,505
Eck13:Bet,506
Der95:Arc,507
Der95:Arc,508
Der95:Arc,509
Kan14:Sou,510
Der95:Arc,511
Mor13:Hyp,512
But88:Per,513
But88:Per,514
But88:Per,515
But88:Per,516
But88:Per,517
But88:Per,518
But88:Per,519
But88:Per,520
But88:Per,521
But88:Per,522
Hay99:How,523
Der82:Mar,524
But88:Per,525
DBLP:conf/icmc/Puckette07,526
Der82:Mar,527
Vag01:Som,528
Vag93:Det,529
Vag01:Som,530
Vag93:Det,531
But88:Per,532
Dan07:The,533
DBLP:conf/icmc/Cope87,534
Mau99:Abr,535
Cop87:AnE,536
DBLP:conf/icmc/Cope87,537
DBLP:conf/icmc/Cope87,538
Hil59:Exp,539
Xen92:For,539
Tru76:ACo,539
Ari05:Ano,539
Roa04:Mic,540
Roa04:Mic,541
Sol05:AnI,542
Sol05:AnI,543
Sol05:AnI,544
fdch/papers/elsa,545
Bor95:Rat,546
Bor95:Rat,547
Att77:Noi,548
Sze08:Lis,549
Sze08:Lis,550
Sze08:Lis,551
Xen92:For,552
Xen92:For,553
Xen92:For,554
Xen92:For,555
Xen92:For,556
Xen92:For,557
Codd72relationalcompleteness,558
picalc,559
shepard,560
Ari05:Ano,561
Xen92:For,562
arizaSieves,563
arizaSieves,564
Ari05:Ano,565
Ari05:Ano,566
Ari05:Ano,567
Ari05:Ano,568
Ari05:Ano,569
Mat63:The,570
Mat63:The,571
Roa80:Int,572
Roa80:Int,573
Xen92:For,574
Bachman:1973:PN:355611.362534,575
Xen92:For,576
picalc,577
Lew93:Put,578
Lew99:Int,578
Lew00:Too,578
Lew99:Int,579
Mat63:The,580
Mat63:The,581
Mat63:The,582
Mat63:The,583
Hil59:Exp,584
Mat63:The,585
Ari05:Ano,586
Mat63:The,587
fdch/papers/spectral,588
Row92:Int,589
Row92:Int,590
Row92:Int,591
